专业排名,综合排名,大学名称（英文）,大学名称（中文）,学科,专业
6,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Biomedical（生物医学)
7,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Biomedical（生物医学)
8,20,University of California--San Diego,加州大学圣地亚哥分校    ,Engineering(工程学-最高博士学位）,Biomedical（生物医学)
9,20,Rice University,莱斯大学    ,Engineering(工程学-最高博士学位）,Biomedical（生物医学)
10,49,Boston University,波士顿大学    ,Engineering(工程学-最高博士学位）,Biomedical（生物医学)
11,16,Northwestern University,西北大学    ,Engineering(工程学-最高博士学位）,Biomedical（生物医学)
12,27,University of Pennsylvania,宾夕法尼亚大学,Engineering(工程学-最高博士学位）,Biomedical（生物医学)
1,1,Massachusetts Institute of Technology,麻省理工学院    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
2,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
3,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
4,51,University of Delaware,特拉华大学    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
5,10,University of Texas--Austin,德克萨斯大学奥斯汀分校    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
6,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
7,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
8,5,California Institute of Technology,加州理工学院    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
8,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
10,8,Carnegie Mellon University,卡内基梅隆大学    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
11,12,Princeton University,普林斯顿大学    ,Engineering(工程学-最高博士学位）,Chemical(化学工程）
12,27,University of Minnesota--Twin Cities,明尼苏达大学双城分校,Engineering(工程学-最高博士学位）,Chemical(化学工程）
1,1,Massachusetts Institute of Technology,麻省理工学院    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
2,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
3,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
4,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
4,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
6,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
7,16,Northwestern University,西北大学    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
8,10,Cornell University,康奈尔大学    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
9,8,Carnegie Mellon University,卡内基梅隆大学    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
10,5,California Institute of Technology,加州理工学院    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
10,20,Pennsylvania State University--University Park,宾夕法尼亚州立大学帕克分校    ,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
10,8,Purdue University,普渡大学西拉法叶校区,Engineering(工程学-最高博士学位）,Materials Engineering(材料工程）
1,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
2,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
3,8,Purdue University,普渡大学西拉法叶校区,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
3,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
5,1,Massachusetts Institute of Technology,麻省理工学院    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
6,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
6,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
8,10,University of Texas--Austin,德克萨斯大学奥斯汀分校    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
9,16,Texas A&M University,德克萨斯农工大学,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
9,13,Virginia Tech,弗吉尼亚理工大学    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
11,8,Carnegie Mellon University,卡内基梅隆大学    ,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
11,10,Cornell University,康奈尔大学,Engineering(工程学-最高博士学位）,Civil Engineering(土木工程）
1,1,Massachusetts Institute of Technology,麻省理工学院  ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
2,8,Carnegie Mellon University,卡内基梅隆大学    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
3,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
4,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
5,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
5,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
7,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
8,5,California Institute of Technology,加州理工学院    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
9,10,University of Texas--Austin,德克萨斯大学奥斯汀分校    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
10,8,Purdue University,普渡大学西拉法叶校区,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
11,10,Cornell University,康奈尔大学    ,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
12,12,Princeton University,普林斯顿大学,Engineering(工程学-最高博士学位）,Computer Engineering（计算机工程）
1,1,Massachusetts Institute of Technology,麻省理工学院、    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
2,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
3,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
4,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
5,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
6,5,California Institute of Technology,加州理工学院    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
7,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
8,8,Carnegie Mellon University,卡内基梅隆大学    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
9,10,University of Texas--Austin,德克萨斯大学奥斯汀分校    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
10,10,Cornell University,康奈尔大学    ,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
11,8,Purdue University,普渡大学西拉法叶校区,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
12,16,University of California--Los Angeles,加州大学洛杉矶分校,Engineering(工程学-最高博士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
1,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
2,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
3,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
4,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
5,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
6,10,University of Texas--Austin,德克萨斯大学奥斯汀分校    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
7,1,Massachusetts Institute of Technology,麻省理工学院    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
7,13,Virginia Tech,弗吉尼亚理工大学    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
9,20,Duke University,杜克大学    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
10,10,Cornell University,康奈尔大学    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
11,8,Carnegie Mellon University,卡内基梅隆大学    ,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
12,8,Purdue University,普渡大学西拉法叶校区,Engineering(工程学-最高博士学位）,Environmental Health Engineering(环境健康工程)
1,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
2,8,Purdue University,普渡大学西拉法叶校区,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
3,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
4,13,Virginia Tech,弗吉尼亚理工大学    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
5,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
6,16,Northwestern University,西北大学    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
7,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
8,10,Cornell University,康奈尔大学    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
8,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
10,16,Texas A&M University,德克萨斯农工大学,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
11,20,Pennsylvania State University--University Park,宾夕法尼亚州立大学帕克分校    ,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
11,13,University of Wisconsin--Madison,威斯康星大学麦迪逊分校,Engineering(工程学-最高博士学位）,Industrial / Manufacturing（工业制造）
1,1,Massachusetts Institute of Technology,麻省理工学院    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
2,4,Georgia Institute of Technology,佐治亚理工学院    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
3,2,Stanford University,斯坦福大学    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
4,3,University of California--Berkeley,加州大学伯克利分校    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
5,8,Carnegie Mellon University,卡内基梅隆大学    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
5,5,University of Michigan--Ann Arbor,密歇根大学安娜堡分校    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
7,8,Purdue University,普渡大学西拉法叶校区,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
8,5,California Institute of Technology,加州理工学院    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
9,5,University of Illinois--Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
10,10,Cornell University,康奈尔大学    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
10,10,University of Texas--Austin,德克萨斯大学奥斯汀分校    ,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
12,16,Texas A&M University,德克萨斯农工大学,Engineering(工程学-最高博士学位）,Mechanical Engineering（机械工程)
1,16,Texas A&M University,德克萨斯农工大学,Engineering(工程学-最高博士学位）,Petroleum Engineering（石油工程）
2,43,Colorado School of Mines,科罗拉多矿业大学    ,Engineering(工程学-最高博士学位）,Petroleum Engineering（石油工程）
2,10,University of Texas--Austin,德克萨斯大学奥斯汀分校    ,Engineering(工程学-最高博士学位）,Petroleum Engineering（石油工程）
4,20,Pennsylvania State University--University Park,宾夕法尼亚州立大学-帕克分校    ,Engineering(工程学-最高博士学位）,Petroleum Engineering（石油工程）
4,180,University of Tulsa,塔尔萨大学    ,Engineering(工程学-最高博士学位）,Petroleum Engineering（石油工程）
6,113,Louisiana State University--Baton Rouge,路易斯安那州立大学-巴吞鲁日分校    ,Engineering(工程学-最高博士学位）,Petroleum Engineering（石油工程）
6,98,University of Oklahoma,俄克拉荷马大学,Engineering(工程学-最高博士学位）,Petroleum Engineering（石油工程）
-,1,Rose-Hulman Institute of Technology,罗斯-霍尔曼理工学院    ,Engineering(工程学-最高硕士学位）,-
-,2,Harvey Mudd College,哈维穆德学院    ,Engineering(工程学-最高硕士学位）,-
-,3,Franklin W. Olin College of Engineering,奥林工程学院    ,Engineering(工程学-最高硕士学位）,-
-,4,U.S. Air Force Academy,美国空军学院    ,Engineering(工程学-最高硕士学位）,-
-,5,U.S. Military Academy,美国陆军军官学院    ,Engineering(工程学-最高硕士学位）,-
-,6,U.S. Naval Academy,美国海军学院    ,Engineering(工程学-最高硕士学位）,-
-,7,Cooper Union,库珀联盟学院    ,Engineering(工程学-最高硕士学位）,-
-,8,California Polytechnic State University--San Luis Obispo,加州理工大学圣路易斯奥比斯波分校    ,Engineering(工程学-最高硕士学位）,-
-,9,Bucknell University,巴克内尔大学    ,Engineering(工程学-最高硕士学位）,-
-,10,Embry-Riddle Aeronautical University--Prescott,恩布里-里德尔航空大学普雷斯科特分校,Engineering(工程学-最高硕士学位）,-
1,8,California Polytechnic State University--San Luis Obispo,加州理工大学圣路易斯奥比斯波分校    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
2,1,Rose-Hulman Institute of Technology,罗斯-霍尔曼理工学院    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
3,4,United States Military Academy at West Point,西点军校    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
4,10,California State Polytechnic University--Pomona,加州理工大学波莫纳分校    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
5,5,Bucknell University,巴克内尔大学    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
6,6,United States Air Force Academy,美国空军学院    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
7,10,Milwaukee School of Engineering,密尔沃基工程学院    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
7,18,Lafayette College,拉斐特学院    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
9,37,California State University--Fullerton,加州州立大学富勒顿分校    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
9,8,Cooper Union for the Advancement of Science and Art,库珀联盟科技艺术学院    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
11,23,California State University--Long Beach,加州州立大学长滩分校    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
11,30,California State University--Los Angeles,加州州立大学洛杉矶分校    ,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
11,12,Ohio Northern University,俄亥俄北方大学,Engineering(工程学-最高硕士学位）,Civil Engineering(土木工程）
1,8,California Polytechnic State University--San Luis Obispo,加州理工大学圣路易斯奥比斯波分校    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
2,1,Rose-Hulman Institute of Technology,罗斯-霍尔曼理工学院    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
3,10,California State Polytechnic University--Pomona,加州理工大学波莫纳分校    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
4,2,Franklin W. Olin College of Engineering,富兰克林·奥林工程学院    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
5,3,Harvey Mudd College,哈维·马德学院    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
6,5,Bucknell University,巴克内尔大学    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
7,10,Milwaukee School of Engineering,密尔沃基工程学院    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
8,23,California State University--Long Beach,加州州立大学长滩分校    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
9,15,San Jose State University,圣何塞州立大学    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
10,37,California State University--Fullerton,加州州立大学富勒顿分校    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
11,30,California State University--Los Angeles,加州州立大学洛杉矶分校    ,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
11,8,Cooper Union for the Advancement of Science and Art,库珀联盟科学与艺术进步学院,Engineering(工程学-最高硕士学位）,Computer Engineering（计算机工程）
1,1,Rose-Hulman Institute of Technology,罗斯-霍尔曼理工学院    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
2,8,California Polytechnic State University--San Luis Obispo,加州理工大学圣路易斯奥比斯波分校    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
3,3,Harvey Mudd College,哈维穆德学院    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
4,10,California State Polytechnic University--Pomona,加州理工大学波莫纳分校    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
5,5,Bucknell University,巴克内尔大学    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
5,2,Franklin W. Olin College of Engineering,富兰克林·奥林工程学院    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
7,4,United States Military Academy,美国陆军军官学院    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
8,6,United States Naval Academy,美国海军学院    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
9,6,United States Air Force Academy,美国空军学院    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
10,15,San Jose State University,圣何塞州立大学    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
11,23,California State University--Long Beach,加州州立大学长滩分校    ,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
11,8,Cooper Union for the Advancement of Science and Art,库珀联盟科学与艺术进步学院,Engineering(工程学-最高硕士学位）,Electrical / Electronic / Communications Engineering（电气/电子/通信工程）
1,1,Rose-Hulman Institute of Technology,罗斯-霍尔曼理工学院    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
2,8,California Polytechnic State University--San Luis Obispo,加州理工大学圣路易斯奥比斯波分校    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
3,3,Harvey Mudd College,哈维穆德学院    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
4,5,Bucknell University,巴克内尔大学    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
4,2,Franklin W. Olin College of Engineering,富兰克林·奥林工程学院    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
6,6,United States Air Force Academy,美国空军学院    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
6,4,United States Military Academy at West Point,西点军校    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
8,10,California State Polytechnic University--Pomona,加州理工大学波莫纳分校    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
8,6,United States Naval Academy,美国海军学院    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
10,8,Cooper Union for the Advancement of Science and Art,库珀联盟科技艺术学院    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
11,10,Milwaukee School of Engineering,密尔沃基工程学院    ,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
12,18,Embry-Riddle Aeronautical University--Prescott,恩布里-里德尔航空大学普雷斯科特分校,Engineering(工程学-最高硕士学位）,Mechanical Engineering（机械工程)
